19-10-2023 12:21:25.542 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 16628 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 15:34:29.938 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 15:34:29.938 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 15:34:29.939 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - ------------------------------------------------------------------
19-10-2023 15:34:29.944 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - drug name must have only - letters, numbers, '-', '_'
19-10-2023 15:34:29.945 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - drug code must contain only - upper case letters, underscore and numbers
19-10-2023 15:34:29.945 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - ------------------------------------------------------------------
19-10-2023 15:34:29.947 [http-nio-8080-exec-3] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 15:54:41.002 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 13888 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 15:54:41.013 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 15:54:47.391 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 7.253 seconds (process running for 8.488)
19-10-2023 15:54:55.360 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 15:54:55.361 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 15:54:55.362 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - ------------------------------------------------------------------
19-10-2023 15:54:55.364 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - drug name must have only - letters, numbers, '-', '_'
19-10-2023 15:54:55.365 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - drug code must contain only - upper case letters, underscore and numbers
19-10-2023 15:54:55.366 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - ------------------------------------------------------------------
19-10-2023 15:56:53.459 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 13372 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 15:56:53.466 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 15:56:59.277 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.577 seconds (process running for 7.722)
19-10-2023 15:57:04.646 [http-nio-8080-exec-1] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 15:57:04.647 [http-nio-8080-exec-1] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 15:57:04.653 [http-nio-8080-exec-1] INFO  c.e.demo.controller.DroneController.createMedication - ------------------------------------------------------------------
19-10-2023 15:57:04.654 [http-nio-8080-exec-1] INFO  c.e.demo.controller.DroneController.createMedication - drug name must have only - letters, numbers, '-', '_'
19-10-2023 15:57:04.654 [http-nio-8080-exec-1] INFO  c.e.demo.controller.DroneController.createMedication - drug code must contain only - upper case letters, underscore and numbers
19-10-2023 15:57:04.658 [http-nio-8080-exec-1] INFO  c.e.demo.controller.DroneController.createMedication - ------------------------------------------------------------------
19-10-2023 15:58:52.306 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 6924 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 15:58:52.320 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 15:58:58.610 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 7.122 seconds (process running for 8.434)
19-10-2023 15:59:02.595 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 15:59:02.599 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 15:59:02.603 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - ------------------------------------------------------------------
19-10-2023 15:59:02.604 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - drug name must have only - letters, numbers, '-', '_'
19-10-2023 15:59:02.604 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - drug code must contain only - upper case letters, underscore and numbers
19-10-2023 15:59:02.605 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - ------------------------------------------------------------------
19-10-2023 16:00:08.896 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 5028 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 16:00:08.903 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 16:00:14.615 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.469 seconds (process running for 7.562)
19-10-2023 16:00:40.642 [http-nio-8080-exec-1] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 16:00:40.643 [http-nio-8080-exec-1] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 16:00:40.645 [http-nio-8080-exec-1] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 16:00:59.920 [http-nio-8080-exec-3] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 16:00:59.921 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
19-10-2023 16:01:38.265 [http-nio-8080-exec-4] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 16:01:38.266 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
19-10-2023 16:01:44.108 [http-nio-8080-exec-5] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 16:01:44.108 [http-nio-8080-exec-5] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
19-10-2023 16:04:05.963 [http-nio-8080-exec-9] INFO  c.e.demo.controller.DroneController.uploadDrugImage - uploading the image
19-10-2023 16:04:06.058 [http-nio-8080-exec-9] INFO  c.e.demo.controller.DroneController.uploadDrugImage - image uploaded successfully:  
19-10-2023 16:04:22.442 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 16:04:22.444 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
19-10-2023 16:05:12.751 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 16:05:12.753 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 16:05:12.753 [http-nio-8080-exec-3] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 16:05:39.769 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 16:05:39.770 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 16:05:39.770 [http-nio-8080-exec-4] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 16:08:42.110 [http-nio-8080-exec-6] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 16:08:42.110 [http-nio-8080-exec-6] INFO  c.e.demo.service.DroneServiceImpl.validateMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 16:08:42.111 [http-nio-8080-exec-6] INFO  c.e.demo.controller.DroneController.createMedication - ------------------------------------------------------------------
19-10-2023 16:08:42.111 [http-nio-8080-exec-6] INFO  c.e.demo.controller.DroneController.createMedication - drug name must have only - letters, numbers, '-', '_'
19-10-2023 16:08:42.112 [http-nio-8080-exec-6] INFO  c.e.demo.controller.DroneController.createMedication - drug code must contain only - upper case letters, underscore and numbers
19-10-2023 16:08:42.112 [http-nio-8080-exec-6] INFO  c.e.demo.controller.DroneController.createMedication - ------------------------------------------------------------------
19-10-2023 16:20:05.946 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 14084 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 16:20:05.953 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 16:20:11.485 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.278 seconds (process running for 7.492)
19-10-2023 16:20:20.420 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.registerDrones - Checking the battery capacity ...
19-10-2023 16:20:20.567 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.registerDrones - New Drone successfully registered
19-10-2023 16:20:20.568 [http-nio-8080-exec-3] INFO  c.e.demo.controller.DroneController.registerDrone - Drone successfully registered: 
19-10-2023 16:21:26.516 [http-nio-8080-exec-6] INFO  c.e.demo.service.DroneServiceImpl.checkAvailableDrones - Checking all available Drones ...
19-10-2023 16:22:23.484 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 10152 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 16:22:23.493 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 16:22:29.536 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.859 seconds (process running for 8.466)
19-10-2023 16:23:05.910 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.registerDrones - Checking the battery capacity ...
19-10-2023 16:23:06.043 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.registerDrones - New Drone successfully registered
